Total DV: 13944.823
 Stage              Epoch               X(m)               Y(m)               Z(m)      VX(m/s)      VY(m/s)      VZ(m/s)    DV(m/s)   TOTAL_DV    ID
    15       239718531.49     299496570936.6     165207958527.7       -683540045.3    -8721.013    18541.792       17.956      61.94    8224.67 57825
    16       246924723.67     213652574982.0     282246178299.7       -709035493.4   -14668.341    13492.526        4.406      96.96    8321.63 62129
    17       260388306.96     -17183825504.6     389393668677.0      -4613672873.2   -18268.798     1869.028     -234.093     757.73    9079.36 60463
    18       271143694.15    -203193065148.3     363015698086.3      -6139652048.4   -15804.456    -6450.494      -81.608     101.50    9180.86 60741
    19       280704114.95    -333467013942.4     272965182512.9      -8155066492.6   -11233.124   -11932.972     -148.978     227.39    9408.25 82008
    20       283357308.98    -361733434853.6     239511387164.6      -9042509399.1    -9889.077   -13153.057     -315.498     284.97    9693.22 65655
    21       312658066.88    -371904395565.5    -209572980826.5     -11358386773.1     9460.259   -13856.463      202.144      36.04    9729.26 44892
    22       322564033.00    -254260843698.3    -326385829858.5      -8152990078.1    14537.167    -9178.100      407.216     521.88   10251.14 46576
    23       334505327.97     -63166846063.8    -384740054428.9      -1456369966.7    17606.040     -213.153      607.302     812.78   11063.92 75946
    24       340116183.55      36922781969.2    -372009570151.3       1949218762.4    17809.829     4851.173      601.230      46.88   11110.80 73099
    25       344778289.86     117933848262.8    -339131649265.6       5044023169.2    16787.326     9306.985      637.842      93.78   11204.58 83146
    26       364502721.49     307908576739.4       -774533866.1      15515499430.0    -1385.783    22115.065      -11.185     381.20   11585.78 51744
    27       379436087.49     139850385014.6     272087926799.1       6141216838.5   -19023.730    11312.836     -996.060     316.77   11902.55 55264
    28       396736072.67    -207950612160.4     277622769972.1     -10460723832.1   -17307.796    -9422.045     -807.279      98.59   12001.14 76541
    29       418555770.21    -380783311862.9     -50956131501.2     -21015430238.5     1771.949   -17148.303       39.962     476.92   12478.07 83354
    30       432102408.46    -277726018920.6    -254130215894.6     -19881968125.4    12845.078   -11871.343      423.649     375.45   12853.52 39256
    31       442618685.10    -106598686915.5    -336801998925.3     -13394958654.4    18722.133    -3184.450      850.881     342.30   13195.82 82229
    32       452118059.83      75209555029.2    -321242977171.8      -8127145645.1    18869.096     7100.566      719.264     663.48   13859.30 53540
    33       471009931.20     291980296398.7      -6004182851.6       7540741243.3     -263.070    22618.138      705.442      21.65   13880.95 82009
    34       474101108.09     284681386483.8      63033152417.6       9379174972.4    -4743.568    22001.847      522.003     335.98   14216.92 69346
    35       490451287.69      49630689918.6     309780457308.4      10702863923.0   -20287.706     5458.788     -366.416      44.55   14261.47 45634
Total DV: 17147.721
 Stage              Epoch               X(m)               Y(m)               Z(m)      VX(m/s)      VY(m/s)      VZ(m/s)    DV(m/s)   TOTAL_DV    ID
     0        20845699.10     146601274126.8     -34924703469.0           -43855.1     6414.842    28857.924       -1.573       0.00       0.00    -2
     1        45600494.69    -247021126136.6     216731054449.2      -9143628877.6   -13335.349    -9600.556      739.999       0.00       0.00 55310
     2        63086962.55    -376923088682.8     -65546587110.6       1046019020.7      950.793   -17120.408      651.625    3832.50    3832.50 74016
     3        71525199.25    -340245992391.8    -203057156799.5       5200554724.6     7657.506   -14829.749      456.813     324.37    4156.87 64404
     4        80191409.35    -246875178526.3    -312337164713.4       9188164255.4    13337.410   -10069.893      387.802     262.63    4419.50 78556
     5        83335135.64    -201220864680.3    -340475980603.5       9759161443.0    15247.411    -7841.338      149.568     452.07    4871.57 70678
     6       102483423.75     140563894422.1    -334260355182.7       -804919590.1    17105.074     9158.662     -621.676     899.16    5770.73 82170
